Sample Location,Sample Description #1,Lab Number,Carbon   (%),Nitrogen (%),C/N Ratio,,,,,,,,,,,,,,,,
SOS-0001,-,2217,4.20,0.38,11.05,,,,,,,,,,,,,,,,
SOS-0002,-,2218,3.24,0.3,10.8,,,,,,,,,,,,,,,,
SOS-0003,-,2219,3.83,0.36,10.64,,,,,,,,,,,,,,,,
SOS-0004,-,2220,3.95,0.41,9.63,,,,,,,,,,,,,,,,
SOS-0005,-,2221,7.55,0.63,11.98,,,,,,,,,,,,,,,,
SOS-0006,-,2222,5.05,0.46,10.98,,,,,,,,,,,,,,,,
SOS-0007,-,2223,8.68,0.65,13.35,,,,,,,,,,,,,,,,
SOS-0008,-,2224,7.86,0.57,13.79,,,,,,,,,,,,,,,,
SOS-0009,-,2225,6.08,0.57,10.67,,,,,,,,,,,,,,,,
SOS-0010,-,2226,5.23,0.52,10.06,,,,,,,,,,,,,,,,
SOS-0011,-,2227,3.52,0.34,10.35,,,,,,,,,,,,,,,,
SOS-0012,-,2228,3.22,0.36,8.94,,,,,,,,,,,,,,,,
SOS-0013,-,2229,4.12,0.39,10.56,,,,,,,,,,,,,,,,
SOS-0014,-,2230,4.11,0.42,9.79,,,,,,,,,,,,,,,,
SOS-0015,-,2231,3.82,0.38,10.05,,,,,,,,,,,,,,,,
SOS-0016,-,2232,4.00,0.38,10.53,,,,,,,,,,,,,,,,
SOS-0017,-,2233,2.84,0.3,9.47,,,,,,,,,,,,,,,,
SOS-0018,-,2234,4.42,0.39,11.33,,,,,,,,,,,,,,,,
SOS-0019,-,2235,5.00,0.45,11.11,,,,,,,,,,,,,,,,
SOS-0020,-,2236,3.52,0.37,9.51,,,,,,,,,,,,,,,,
SOS-0021,-,2237,4.53,0.43,10.53,,,,,,,,,,,,,,,,
SOS-0022,-,2238,3.42,0.35,9.77,,,,,,,,,,,,,,,,
SOS-0023,-,2239,5.35,0.49,10.92,,,,,,,,,,,,,,,,
SOS-0024,-,2240,5.39,0.49,11,,,,,,,,,,,,,,,,
SOS-0025,-,2241,4.25,0.38,11.18,,,,,,,,,,,,,,,,
SOS-0026,-,2242,5.33,0.45,11.84,,,,,,,,,,,,,,,,
SOS-0027,-,2243,8.70,0.74,11.76,,,,,,,,,,,,,,,,
SOS-0028,-,2244,4.93,0.44,11.2,,,,,,,,,,,,,,,,
SOS-0029,-,2245,4.40,0.4,11,,,,,,,,,,,,,,,,
SOS-0030,-,2246,3.25,0.31,10.48,,,,,,,,,,,,,,,,
SOS-0031,-,2247,3.85,0.37,10.41,,,,,,,,,,,,,,,,
SOS-0032,-,2248,3.62,0.36,10.06,,,,,,,,,,,,,,,,
SOS-0033,-,2249,3.81,0.36,10.58,,,,,,,,,,,,,,,,
SOS-0034,-,2250,4.09,0.38,10.76,,,,,,,,,,,,,,,,
SOS-0035,-,2251,4.72,0.45,10.49,,,,,,,,,,,,,,,,
SOS-0036,-,2252,2.97,0.32,9.28,,,,,,,,,,,,,,,,
SOS-0037,-,2253,3.73,0.37,10.08,,,,,,,,,,,,,,,,
SOS-0038,-,2254,4.30,0.41,10.49,,,,,,,,,,,,,,,,
SOS-0039,-,2255,3.64,0.38,9.58,,,,,,,,,,,,,,,,
SOS-0040,-,2256,3.71,0.38,9.76,,,,,,,,,,,,,,,,
SOS-0041,-,2257,3.15,0.31,10.16,,,,,,,,,,,,,,,,
SOS-0042,-,2258,3.85,0.38,10.13,,,,,,,,,,,,,,,,
SOS-0043,-,2259,3.80,0.36,10.56,,,,,,,,,,,,,,,,
SOS-0044,-,2260,5.08,0.45,11.29,,,,,,,,,,,,,,,,
SOS-0045,-,2261,2.97,0.31,9.58,,,,,,,,,,,,,,,,
SOS-0046,-,2262,2.65,0.28,9.46,,,,,,,,,,,,,,,,
SOS-0047,-,2263,3.72,0.37,10.05,,,,,,,,,,,,,,,,
SOS-0048,-,2264,6.02,0.51,11.8,,,,,,,,,,,,,,,,
SOS-0049,-,2265,3.41,0.34,10.03,,,,,,,,,,,,,,,,
SOS-0050,-,2266,3.74,0.34,11,,,,,,,,,,,,,,,,
SOS-0051,-,2267,5.24,0.5,10.48,,,,,,,,,,,,,,,,
SOS-0052,-,2268,3.21,0.33,9.73,,,,,,,,,,,,,,,,
SOS-0053,-,2269,2.54,0.28,9.07,,,,,,,,,,,,,,,,
SOS-0054,-,2270,2.82,0.28,10.07,,,,,,,,,,,,,,,,
SOS-0055,-,2271,5.42,0.49,11.06,,,,,,,,,,,,,,,,
SOS-0056,-,2272,5.29,0.45,11.76,,,,,,,,,,,,,,,,