old_plate,old_column,old_row,plate_number,column,row,amplified (Y/N)
1,1,a,1-composite,1,a,Y
1,1,b,1-composite,1,b,Y
1,1,c,1-composite,1,c,Y
1,1,d,1-composite,1,d,Y
1,4,a,1-composite,1,e,Y
1,4,b,1-composite,1,f,N
1,4,c,1-composite,1,g,N
1,4,d,1-composite,1,h,Y
1,4,e,1-composite,2,a,Y
1,4,f,1-composite,2,b,Y
1,4,g,1-composite,2,c,Y
1,4,h,1-composite,2,d,Y
1,6,a,1-composite,2,e,Y
1,6,b,1-composite,2,f,Y
1,6,c,1-composite,2,g,N
1,6,d,1-composite,2,h,N
1,7,a,1-composite,3,a,Y
1,7,b,1-composite,3,b,Y
1,7,c,1-composite,3,c,Y
1,7,d,1-composite,3,d,Y
1,9,a,1-composite,3,e,Y
1,9,b,1-composite,3,f,Y
1,11,a,1-composite,3,g,Y
1,11,b,1-composite,3,h,Y
1,11,c,1-composite,4,a,N
2,2,a,1-composite,4,b,Y
2,2,b,1-composite,4,c,Y
2,2,c,1-composite,4,d,Y
2,2,d,1-composite,4,e,Y
2,2,e,1-composite,4,f,Y
2,2,f,1-composite,4,g,Y
2,2,g,1-composite,4,h,Y
2,2,h,1-composite,5,a,Y
2,3,a,1-composite,5,b,Y
2,3,b,1-composite,5,c,Y
2,3,c,1-composite,5,d,N
2,3,d,1-composite,5,e,Y
2,3,e,1-composite,5,f,N
2,3,f,1-composite,5,g,Y
2,3,g,1-composite,5,h,N
2,3,h,1-composite,6,a,Y
2,4,a,1-composite,6,b,Y
2,4,b,1-composite,6,c,Y
2,6,a,1-composite,6,d,N
2,6,b,1-composite,6,e,Y
2,6,c,1-composite,6,f,Y
2,6,d,1-composite,6,g,Y
2,6,e,1-composite,6,h,Y
2,6,f,1-composite,7,a,N
2,6,g,1-composite,7,b,Y
2,6,h,1-composite,7,c,Y
2,7,a,1-composite,7,d,Y
2,7,b,1-composite,7,e,Y
2,9,a,1-composite,7,f,N
2,9,b,1-composite,7,g,Y
2,11,a,1-composite,7,h,Y
2,11,b,1-composite,8,a,Y
2,11,c,1-composite,8,b,Y
2,11,d,1-composite,8,c,Y
2,11,e,1-composite,8,d,Y
2,11,f,1-composite,8,e,Y
2,11,g,1-composite,8,f,Y
2,11,h,1-composite,8,g,Y
2,12,a,1-composite,8,h,Y
2,12,b,1-composite,9,a,Y
2,12,c,1-composite,9,b,N
2,12,d,1-composite,9,c,Y
2,12,e,1-composite,9,d,N
2,12,f,1-composite,9,e,Y
2,12,g,1-composite,9,f,N
2,12,h,1-composite,9,g,Y
3,1,a,1-composite,9,h,Y
3,1,b,1-composite,10,a,N
3,1,c,1-composite,10,b,Y
3,1,d,1-composite,10,c,Y
3,1,e,1-composite,10,d,N
3,1,f,1-composite,10,e,N
3,2,a,1-composite,10,f,Y
3,2,b,1-composite,10,g,Y
3,2,c,1-composite,10,h,Y
3,2,d,1-composite,11,a,N
3,2,e,1-composite,11,b,Y
3,2,f,1-composite,11,c,Y
3,2,g,1-composite,11,d,Y
3,3,a,1-composite,11,e,Y
3,3,b,1-composite,11,f,Y
3,3,c,1-composite,11,g,Y
3,3,d,1-composite,11,h,Y
3,3,e,1-composite,12,a,N
3,3,f,1-composite,12,b,N
3,3,g,1-composite,12,c,N
3,3,h,1-composite,12,d,Y
3,4,a,1-composite,12,e,N
3,4,b,1-composite,12,f,Y
BLANK,,,1-composite,12,g,N
BLANK,,,1-composite,12,h,Y
3,5,a,2-composite,1,a,Y
3,5,b,2-composite,1,b,N
3,5,c,2-composite,1,c,Y
3,5,d,2-composite,1,d,Y
3,5,e,2-composite,1,e,Y
3,5,f,2-composite,1,f,N
3,5,g,2-composite,1,g,Y
3,6,a,2-composite,1,h,Y
3,7,a,2-composite,2,a,Y
3,7,b,2-composite,2,b,Y
3,7,c,2-composite,2,c,Y
3,7,d,2-composite,2,d,Y
3,7,e,2-composite,2,e,Y
3,8,a,2-composite,2,f,Y
3,8,e,2-composite,2,g,Y
3,8,f,2-composite,2,h,Y
3,8,g,2-composite,3,a,Y
3,8,h,2-composite,3,b,Y
3,9,a,2-composite,3,c,Y
3,9,b,2-composite,3,d,Y
3,9,c,2-composite,3,e,Y
3,9,d,2-composite,3,f,N
3,10,a,2-composite,3,g,Y
3,10,b,2-composite,3,h,Y
3,10,c,2-composite,4,a,Y
3,10,d,2-composite,4,b,Y
3,10,e,2-composite,4,c,Y
3,10,f,2-composite,4,d,Y
3,10,g,2-composite,4,e,X
3,10,h,2-composite,4,f,Y
3,11,a,2-composite,4,g,Y
3,11,b,2-composite,4,h,Y
3,11,c,2-composite,5,a,Y
3,11,d,2-composite,5,b,Y
3,11,e,2-composite,5,c,Y
3,11,f,2-composite,5,d,Y
3,11,g,2-composite,5,e,Y
3,11,h,2-composite,5,f,Y
3,12,a,2-composite,5,g,Y
3,12,b,2-composite,5,h,Y
3,12,c,2-composite,6,a,Y
3,12,d,2-composite,6,b,Y
3,12,e,2-composite,6,c,Y
3,12,f,2-composite,6,d,N
3,12,g,2-composite,6,e,Y
4,1,a,2-composite,6,f,Y
4,1,b,2-composite,6,g,Y
4,1,c,2-composite,6,h,Y
4,1,d,2-composite,7,a,Y
4,1,e,2-composite,7,b,Y
4,1,f,2-composite,7,c,Y
4,1,g,2-composite,7,d,Y
4,1,h,2-composite,7,e,N
4,2,a,2-composite,7,f,Y
4,2,b,2-composite,7,g,Y
4,2,c,2-composite,7,h,Y
4,2,d,2-composite,8,a,Y
4,2,e,2-composite,8,b,Y
4,2,f,2-composite,8,c,Y
4,2,g,2-composite,8,d,N
4,2,h,2-composite,8,e,Y
4,3,a,2-composite,8,f,Y
4,3,b,2-composite,8,g,Y
4,3,c,2-composite,8,h,Y
4,3,d,2-composite,9,a,Y
4,3,e,2-composite,9,b,Y
4,3,f,2-composite,9,c,N
4,4,a,2-composite,9,d,Y
4,4,b,2-composite,9,e,Y
4,4,c,2-composite,9,f,Y
4,4,d,2-composite,9,g,Y
4,4,e,2-composite,9,h,Y
4,4,f,2-composite,10,a,Y
4,4,g,2-composite,10,b,Y
4,4,h,2-composite,10,c,Y
4,5,a,2-composite,10,d,N
4,5,b,2-composite,10,e,Y
4,5,c,2-composite,10,f,Y
4,5,d,2-composite,10,g,Y
4,5,e,2-composite,10,h,Y
4,5,f,2-composite,11,a,N
4,6,a,2-composite,11,b,Y
4,6,b,2-composite,11,c,Y
4,6,c,2-composite,11,d,Y
4,6,d,2-composite,11,e,Y
4,6,e,2-composite,11,f,N
4,6,f,2-composite,11,g,Y
4,6,g,2-composite,11,h,Y
4,7,a,2-composite,12,a,Y
4,7,b,2-composite,12,b,Y
4,7,c,2-composite,12,c,Y
4,8,a,2-composite,12,d,Y
4,8,b,2-composite,12,e,Y
4,8,c,2-composite,12,f,Y
4,8,d,2-composite,12,g,Y
4,8,e,2-composite,12,h,Y
4,8,f,3-composite,1,a,N
4,8,g,3-composite,1,b,Y
4,8,h,3-composite,1,c,Y
4,9,a,3-composite,1,d,Y
4,9,b,3-composite,1,e,N
4,9,c,3-composite,1,f,N
4,10,a,3-composite,1,g,Y
4,10,b,3-composite,1,h,N
4,10,c,3-composite,2,a,Y
4,10,d,3-composite,2,b,Y
3,6,b,3-composite,2,c,N
3,6,c,3-composite,2,d,N
3,6,d,3-composite,2,e,Y
3,6,e,3-composite,2,f,Y
3,6,f,3-composite,2,g,N
3,6,g,3-composite,2,h,N