old_plate,old_column,old_row,plate_number,column,row
1,1,a,1-composite,1,a
1,1,b,1-composite,1,b
1,1,c,1-composite,1,c
1,1,d,1-composite,1,d
1,4,a,1-composite,1,e
1,4,b,1-composite,1,f
1,4,c,1-composite,1,g
1,4,d,1-composite,1,h
1,4,e,1-composite,2,a
1,4,f,1-composite,2,b
1,4,g,1-composite,2,c
1,4,h,1-composite,2,d
1,6,a,1-composite,2,e
1,6,b,1-composite,2,f
1,6,c,1-composite,2,g
1,6,d,1-composite,2,h
1,7,a,1-composite,3,a
1,7,b,1-composite,3,b
1,7,c,1-composite,3,c
1,7,d,1-composite,3,d
1,9,a,1-composite,3,e
1,9,b,1-composite,3,f
1,11,a,1-composite,3,g
1,11,b,1-composite,3,h
1,11,c,1-composite,4,a
2,2,a,1-composite,4,b
2,2,b,1-composite,4,c
2,2,c,1-composite,4,d
2,2,d,1-composite,4,e
2,2,e,1-composite,4,f
2,2,f,1-composite,4,g
2,2,g,1-composite,4,h
2,2,h,1-composite,5,a
2,3,a,1-composite,5,b
2,3,b,1-composite,5,c
2,3,c,1-composite,5,d
2,3,d,1-composite,5,e
2,3,e,1-composite,5,f
2,3,f,1-composite,5,g
2,3,g,1-composite,5,h
2,3,h,1-composite,6,a
2,4,a,1-composite,6,b
2,4,b,1-composite,6,c
2,6,a,1-composite,6,d
2,6,b,1-composite,6,e
2,6,c,1-composite,6,f
2,6,d,1-composite,6,g
2,6,e,1-composite,6,h
2,6,f,1-composite,7,a
2,6,g,1-composite,7,b
2,6,h,1-composite,7,c
2,7,a,1-composite,7,d
2,7,b,1-composite,7,e
2,9,a,1-composite,7,f
2,9,b,1-composite,7,g
2,11,a,1-composite,7,h
2,11,b,1-composite,8,a
2,11,c,1-composite,8,b
2,11,d,1-composite,8,c
2,11,e,1-composite,8,d
2,11,f,1-composite,8,e
2,11,g,1-composite,8,f
2,11,h,1-composite,8,g
2,12,a,1-composite,8,h
2,12,b,1-composite,9,a
2,12,c,1-composite,9,b
2,12,d,1-composite,9,c
2,12,e,1-composite,9,d
2,12,f,1-composite,9,e
2,12,g,1-composite,9,f
2,12,h,1-composite,9,g
3,1,a,1-composite,9,h
3,1,b,1-composite,10,a
3,1,c,1-composite,10,b
3,1,d,1-composite,10,c
3,1,e,1-composite,10,d
3,1,f,1-composite,10,e
3,2,a,1-composite,10,f
3,2,b,1-composite,10,g
3,2,c,1-composite,10,h
3,2,d,1-composite,11,a
3,2,e,1-composite,11,b
3,2,f,1-composite,11,c
3,2,g,1-composite,11,d
3,3,a,1-composite,11,e
3,3,b,1-composite,11,f
3,3,c,1-composite,11,g
3,3,d,1-composite,11,h
3,3,e,1-composite,12,a
3,3,f,1-composite,12,b
3,3,g,1-composite,12,c
3,3,h,1-composite,12,d
3,4,a,1-composite,12,e
3,4,b,1-composite,12,f
BLANK,,,1-composite,12,g
BLANK,,,1-composite,12,h
3,5,a,2-composite,1,a
3,5,b,2-composite,1,b
3,5,c,2-composite,1,c
3,5,d,2-composite,1,d
3,5,e,2-composite,1,e
3,5,f,2-composite,1,f
3,5,g,2-composite,1,g
3,6,a,2-composite,1,h
3,7,a,2-composite,2,a
3,7,b,2-composite,2,b
3,7,c,2-composite,2,c
3,7,d,2-composite,2,d
3,7,e,2-composite,2,e
3,8,a,2-composite,2,f
3,8,e,2-composite,2,g
3,8,f,2-composite,2,h
3,8,g,2-composite,3,a
3,8,h,2-composite,3,b
3,9,a,2-composite,3,c
3,9,b,2-composite,3,d
3,9,c,2-composite,3,e
3,9,d,2-composite,3,f
3,10,a,2-composite,3,g
3,10,b,2-composite,3,h
3,10,c,2-composite,4,a
3,10,d,2-composite,4,b
3,10,e,2-composite,4,c
3,10,f,2-composite,4,d
3,10,g,2-composite,4,e
3,10,h,2-composite,4,f
3,11,a,2-composite,4,g
3,11,b,2-composite,4,h
3,11,c,2-composite,5,a
3,11,d,2-composite,5,b
3,11,e,2-composite,5,c
3,11,f,2-composite,5,d
3,11,g,2-composite,5,e
3,11,h,2-composite,5,f
3,12,a,2-composite,5,g
3,12,b,2-composite,5,h
3,12,c,2-composite,6,a
3,12,d,2-composite,6,b
3,12,e,2-composite,6,c
3,12,f,2-composite,6,d
3,12,g,2-composite,6,e
4,1,a,2-composite,6,f
4,1,b,2-composite,6,g
4,1,c,2-composite,6,h
4,1,d,2-composite,7,a
4,1,e,2-composite,7,b
4,1,f,2-composite,7,c
4,1,g,2-composite,7,d
4,1,h,2-composite,7,e
4,2,a,2-composite,7,f
4,2,b,2-composite,7,g
4,2,c,2-composite,7,h
4,2,d,2-composite,8,a
4,2,e,2-composite,8,b
4,2,f,2-composite,8,c
4,2,g,2-composite,8,d
4,2,h,2-composite,8,e
4,3,a,2-composite,8,f
4,3,b,2-composite,8,g
4,3,c,2-composite,8,h
4,3,d,2-composite,9,a
4,3,e,2-composite,9,b
4,3,f,2-composite,9,c
4,4,a,2-composite,9,d
4,4,b,2-composite,9,e
4,4,c,2-composite,9,f
4,4,d,2-composite,9,g
4,4,e,2-composite,9,h
4,4,f,2-composite,10,a
4,4,g,2-composite,10,b
4,4,h,2-composite,10,c
4,5,a,2-composite,10,d
4,5,b,2-composite,10,e
4,5,c,2-composite,10,f
4,5,d,2-composite,10,g
4,5,e,2-composite,10,h
4,5,f,2-composite,11,a
4,6,a,2-composite,11,b
4,6,b,2-composite,11,c
4,6,c,2-composite,11,d
4,6,d,2-composite,11,e
4,6,e,2-composite,11,f
4,6,f,2-composite,11,g
4,6,g,2-composite,11,h
4,7,a,2-composite,12,a
4,7,b,2-composite,12,b
4,7,c,2-composite,12,c
4,8,a,2-composite,12,d
4,8,b,2-composite,12,e
4,8,c,2-composite,12,f
4,8,d,2-composite,12,g
4,8,e,2-composite,12,h
4,8,f,3-composite,1,a
4,8,g,3-composite,1,b
4,8,h,3-composite,1,c
4,9,a,3-composite,1,d
4,9,b,3-composite,1,e
4,9,c,3-composite,1,f
4,10,a,3-composite,1,g
4,10,b,3-composite,1,h
4,10,c,3-composite,2,a
4,10,d,3-composite,2,b
3,6,b,3-composite,3,a
3,6,c,3-composite,3,b
3,6,d,3-composite,3,c
3,6,e,3-composite,3,d
3,6,f,3-composite,3,e
3,6,g,3-composite,3,f